"x"t"y"
0,393760238774121t41,8870412305161
0,945544481277466t40,2373898839978
1,07843838818371t43,1806286292994
1,09145029261708t39,1860705300286
1,22728576138616t40,417035477202
1,65778675675392t41,564017884549
2,18496278487146t44,0082468800254
2,25000365171582t41,3344483095581
2,52287619374692t40,9880179652384
2,57488540560007t40,6030285916466
3,41694046743214t36,3999846846031
3,84537189826369t26,1448017688545
4,34478290285915t14,7532689106302
4,72623931523412t7,64518558691851
4,90333149489015t7,6421440860044
5,23057345300913t4,67163697388368
5,47943993378431t7,0577056629878
6,59406715258956t5,1261658066457
7,5082371449098t1,66799997821283
8,25821669586003t4,36321682777143
8,63659812044352t3,76259707508722
8,86308226548135t5,50423115401589
9,26337901968509t5,35635133401165
9,33065567817539t3,31463150759707
9,46183634363115t6,62490772036188
9,95096025802195t0,630562846786225
10,0474242791533t4,04901651075665
10,4860530300066t2,52797115990168
10,7476008469239t5,16317217545303
11,4443657062948t6,05887403076392
